BookName,BookAuthor,BookOriginalPrice,BookDiscountPrice
"গল্পগুলো ফাগুন হাওয়ার","সঞ্জয় মুখাজ্জী","TK. 240","TK. 204"
"নিসর্গ প্রণয়ে","ওয়াজেদ আলি","TK. 150","TK. 132"
"নীলপদ্ম ","ইলিয়াস ফারুকী ","TK. 150","TK. 132"
"গীতিকবিতা : ধূসর শূন্যতার কথকতা","সোহেল ইমাম খান","TK. 200","TK. 176"
"আলদার কোসের মজার কীর্তিকাণ্ড","আলদার কোসে","TK. 150","TK. 113"
"ঘৃতং পিবেৎ","শ্রী প্রমথনাথ বিশী","TK. 180","TK. 158"
"চেতনার জলছবি","জাহাঙ্গীর হোসেন","TK. 130","TK. 114"
"বিরহের কবিতা","রেজাউদ্দিন ষ্টালিন","TK. 150","TK. 132"
"পারি না আকাশ ছুঁতে","সেলিমা আজীজ","TK. 50","TK. 45"
"বুকের ভেতর শাপলা ফোটে","সুজন বড়ুয়া","TK. 60","TK. 54"
"The foreigners Act 1946","মোঃ রফিউদ্দিন","TK. 110","TK. 97"
"বিষাদ সিন্ধু","মীর মশাররফ হোসেন","TK. 300","TK. 255"
"বিবি খোদেজার বিবাহ","মীর মশাররফ হোসেন","TK. 120","TK. 106"
"মৌলুদ শরীফ","মীর মশাররফ হোসেন","TK. 200","TK. 176"
"চট্টগ্রাম মহানগর পুলিশ অধ্যাদেশ","এডভোকেট মুহাম্মদ সাইফুল আলম ","TK. 100","TK. 90"
"আমার স্বরবর্ণ","মনিরা ইসলাম","TK. 100","TK. 90"
"খুকির আঁকা ছবি","মনিরা ইসলাম","TK. 80","TK. 72"
"৬৯ এর গণ-অভ্যুত্থান ও মওলানা ভাসানী","জিবলু রহমান","TK. 800","TK. 680"
"প্রগতির ডাক","হাফিজ মোঃ মাশহুদ চৌধুরী","TK. 325","TK. 276"
"সমাজকল্যাণ নীতি ও কর্মসূচী","আ. স. ম. নুরুল ইসলাম","TK. 125","TK. 110"
"স্বপ্নভেলা","ডা. দেবাশিস দাশ","TK. 120","TK. 106"
"শান্তির আরাধনা","হেলাল মৃধা","TK. 150","TK. 132"
"সত্য ও কল্যাণের পথ","মোঃ জাকির হোসেন","TK. 150","TK. 132"
"কবিতার দহন","বেগম ফাতেমা আহমেদ","TK. 120","TK. 106"
"জলডাহুকের পদ্য","মিনতি বসাক","TK. 120","TK. 106"
"অবারিত স্নিগ্ধতা","বেগম ফাতেমা আহমেদ","TK. 120","TK. 106"
"অমলিন বার্তা","বশির আহম্মেদ ","TK. 120","TK. 106"
"অসামান্যের সূক্ষ্ম গতি","বেগম ফাতেমা আহমেদ","TK. 100","TK. 90"
"অস্তমিত জীবনের প্রতি","তাসলিমা রফিক","TK. 150","TK. 132"
"রৌদ্রস্নানে বৃষ্টি","বেগম ফাতেমা আহমেদ","TK. 120","TK. 106"
"দেহ ভান্ডের গোপন রহস্য","মোঃ সাইদ হাসান","TK. 100","TK. 90"
"অচেনা প্রিয়জন","ছামিউল ইসলাম","TK. 120","TK. 106"
"অনিন্দ্য পথচলা","বশির আহম্মেদ ","TK. 150","TK. 132"
"রবীন্দ্রনাথের জীবনে নারী","আরেফিন বাদল","TK. 200","TK. 176"
"টুকরো হলো চাঁদ আকাশের","শহীদ সিরাজী","TK. 180","TK. 158"
"সত্য কথার গল্পকথা","শহীদ সিরাজী","TK. 180","TK. 158"
"সুখের নিশানা কাব্য","শহীদ সিরাজী","TK. 150","TK. 132"
"হৃদয়ের কথা","বদরুদ্দোজা বুলু","TK. 150","TK. 105"
"গহিনে নিঃশব্দ","রাশেদা হোনাইন শোভা","TK. 210","TK. 147"
